date_heure,consommation,nucleaire,eolien,solaire,hydraulique,taux_co2
2026-06-30T23:45:00+00:00,42643,38810,4324,0,5827,40
2026-07-01T00:00:00+00:00,41666,38725,4309,0,5603,36
2026-07-01T00:15:00+00:00,41134,38747,4341,0,5432,27
2026-07-01T00:30:00+00:00,40245,38779,4408,0,5632,22
2026-07-01T01:30:00+00:00,38065,38865,4439,0,5333,13
2026-07-01T03:45:00+00:00,39267,38668,4341,219,5203,15
2026-07-01T04:00:00+00:00,39784,38727,4474,240,5345,15
2026-07-01T04:15:00+00:00,40920,38875,4604,309,6299,17
2026-07-01T05:00:00+00:00,42795,38884,4284,945,6128,19
2026-07-01T07:45:00+00:00,49319,38715,3211,11140,5350,17
2026-07-01T12:15:00+00:00,52227,36413,4033,18212,4314,21
2026-07-01T13:00:00+00:00,51521,36090,4035,17947,3992,22
2026-07-01T13:45:00+00:00,50108,36085,4094,17242,3833,19
2026-07-01T14:15:00+00:00,49066,36571,4178,16534,4499,16
2026-07-01T15:00:00+00:00,49258,36599,4329,15078,4851,16
2026-07-01T16:45:00+00:00,49609,36127,5564,9235,6821,31
2026-07-01T18:30:00+00:00,48518,35782,5966,2119,8815,44
2026-07-01T19:00:00+00:00,47382,36248,5779,1135,8427,45
2026-07-01T19:30:00+00:00,46853,36995,5442,467,8353,45
2026-07-01T20:45:00+00:00,48569,39137,5684,0,7087,30
2026-07-01T21:00:00+00:00,47667,38889,5918,0,7502,28
2026-07-01T21:30:00+00:00,46327,39076,6094,0,6890,32
2026-07-01T21:45:00+00:00,46732,39061,6180,0,6638,32
2026-07-01T22:15:00+00:00,45379,39508,6215,0,5285,29
2026-07-01T23:45:00+00:00,41395,39589,5514,0,4885,15
2026-07-02T00:00:00+00:00,40699,39624,5418,0,4776,14
2026-07-02T01:00:00+00:00,38422,38978,4871,0,4269,13
2026-07-02T02:00:00+00:00,37497,39045,4536,0,4363,13
2026-07-02T03:15:00+00:00,38671,39021,4558,0,4378,13
2026-07-02T04:15:00+00:00,40984,39394,4506,397,4470,13
2026-07-02T06:15:00+00:00,46149,39397,4152,4608,5774,12
2026-07-02T08:15:00+00:00,48541,35913,5111,13012,4386,12
2026-07-02T09:30:00+00:00,49632,35469,4209,12181,4023,15
2026-07-02T10:00:00+00:00,50117,34547,4174,13745,4081,15
2026-07-02T11:45:00+00:00,49502,34084,4334,14800,3173,15
2026-07-02T16:30:00+00:00,50135,37303,8601,9476,5094,14
2026-07-02T17:45:00+00:00,50992,38501,7364,4434,6268,22
2026-07-02T18:00:00+00:00,50592,38635,7237,3478,6800,23
2026-07-02T18:15:00+00:00,49666,38813,7070,2715,7269,24
2026-07-02T18:30:00+00:00,49068,38903,6913,2056,7416,25
2026-07-02T19:45:00+00:00,47207,39282,6176,360,8260,24
2026-07-02T20:30:00+00:00,48368,39802,5594,252,9606,25
2026-07-02T21:00:00+00:00,48230,40206,5343,0,8823,25
2026-07-02T21:15:00+00:00,47986,40333,5241,0,8563,26
2026-07-03T00:00:00+00:00,41217,40711,3815,0,5452,17
2026-07-03T01:15:00+00:00,38394,40403,3138,0,4856,19
2026-07-03T02:30:00+00:00,37621,40567,3009,0,4561,20
2026-07-03T03:45:00+00:00,39996,41016,2734,248,5542,20
2026-07-03T04:00:00+00:00,40408,41137,2684,283,5424,20
2026-07-03T08:30:00+00:00,49985,41840,1447,13893,3861,12
2026-07-03T09:00:00+00:00,50194,40999,1462,15202,3685,13
2026-07-03T12:30:00+00:00,50896,40484,998,13625,3433,15
2026-07-03T13:15:00+00:00,50528,39878,1412,14571,3514,15
2026-07-03T13:30:00+00:00,50045,40025,1252,13651,3412,15
2026-07-03T14:45:00+00:00,49168,40434,2213,16708,4125,14
2026-07-03T15:30:00+00:00,49295,41619,2657,15592,3882,14
2026-07-03T17:30:00+00:00,50437,43929,3307,6485,6855,19
2026-07-03T18:00:00+00:00,49416,43867,3478,4048,8280,23
2026-07-03T18:30:00+00:00,48519,44069,3640,2235,8832,25
2026-07-03T19:15:00+00:00,47270,44202,3708,787,8913,25
2026-07-03T19:30:00+00:00,46643,44232,3790,457,8737,23
