date_heure,temperature,humidite
2026-08-19T00:00,23.4,69
2026-08-19T01:00,23.0,72
2026-08-19T02:00,22.6,73
2026-08-19T03:00,22.0,75
2026-08-19T04:00,21.6,78
2026-08-19T05:00,21.5,75
2026-08-19T06:00,21.6,77
2026-08-19T07:00,22.1,75
2026-08-19T08:00,22.3,75
2026-08-19T09:00,23.5,71
2026-08-19T10:00,25.9,58
2026-08-19T11:00,27.5,49
2026-08-19T12:00,28.7,44
2026-08-19T13:00,30.2,38
2026-08-19T14:00,30.1,39
2026-08-19T15:00,29.9,39
2026-08-19T16:00,23.5,76
2026-08-19T17:00,21.7,77
2026-08-19T18:00,21.9,72
2026-08-19T19:00,21.6,69
2026-08-19T20:00,20.9,72
2026-08-19T21:00,20.4,73
2026-08-19T22:00,19.9,76
2026-08-19T23:00,19.6,77
2026-08-20T00:00,19.2,75
2026-08-20T01:00,18.7,75
2026-08-20T02:00,18.2,76
2026-08-20T03:00,17.7,75
2026-08-20T04:00,17.3,75
2026-08-20T05:00,16.9,77
2026-08-20T06:00,17.0,77
2026-08-20T07:00,17.7,72
2026-08-20T08:00,18.9,65
2026-08-20T09:00,20.3,59
2026-08-20T10:00,21.7,51
2026-08-20T11:00,22.9,45
2026-08-20T12:00,23.6,42
2026-08-20T13:00,25.0,38
2026-08-20T14:00,25.6,36
2026-08-20T15:00,26.1,35
2026-08-20T16:00,26.1,34
2026-08-20T17:00,22.9,52
2026-08-20T18:00,23.6,46
2026-08-20T19:00,23.0,48
2026-08-20T20:00,22.3,52
2026-08-20T21:00,21.6,51
2026-08-20T22:00,20.9,49
2026-08-20T23:00,20.1,58
2026-08-21T00:00,19.3,65
2026-08-21T01:00,18.7,68
2026-08-21T02:00,18.2,70
2026-08-21T03:00,17.3,70
2026-08-21T04:00,16.3,77
2026-08-21T05:00,15.6,81
2026-08-21T06:00,15.5,82
2026-08-21T07:00,16.0,80
2026-08-21T08:00,17.4,71
2026-08-21T09:00,18.8,62
2026-08-21T10:00,20.0,56
2026-08-21T11:00,21.5,48
2026-08-21T12:00,21.9,49
2026-08-21T13:00,22.5,48
2026-08-21T14:00,23.4,40
2026-08-21T15:00,23.2,39
2026-08-21T16:00,22.5,42
2026-08-21T17:00,20.5,61
2026-08-21T18:00,20.6,54
2026-08-21T19:00,19.7,56
2026-08-21T20:00,18.7,63
2026-08-21T21:00,17.6,68
2026-08-21T22:00,16.5,75
2026-08-21T23:00,15.9,82
2026-08-22T00:00,15.3,85
2026-08-22T01:00,14.8,87
2026-08-22T02:00,14.5,88
2026-08-22T03:00,14.0,90
2026-08-22T04:00,13.6,92
2026-08-22T05:00,13.3,93
2026-08-22T06:00,13.5,92
2026-08-22T07:00,14.7,84
2026-08-22T08:00,16.4,72
2026-08-22T09:00,18.0,62
2026-08-22T10:00,19.4,55
2026-08-22T11:00,20.7,50
2026-08-22T12:00,21.7,46
2026-08-22T13:00,22.2,44
2026-08-22T14:00,22.3,43
2026-08-22T15:00,22.3,42
2026-08-22T16:00,22.3,41
2026-08-22T17:00,22.2,40
2026-08-22T18:00,21.7,41
2026-08-22T19:00,20.8,45
2026-08-22T20:00,19.5,51
2026-08-22T21:00,18.3,57
2026-08-22T22:00,17.3,65
2026-08-22T23:00,16.5,73
2026-08-23T00:00,15.8,80
2026-08-23T01:00,15.3,83
2026-08-23T02:00,15.0,84
2026-08-23T03:00,14.7,85
2026-08-23T04:00,14.5,86
2026-08-23T05:00,14.4,88
2026-08-23T06:00,14.4,88
2026-08-23T07:00,14.4,87
2026-08-23T08:00,14.5,84
2026-08-23T09:00,14.8,82
2026-08-23T10:00,15.4,80
2026-08-23T11:00,16.1,77
2026-08-23T12:00,16.7,75
2026-08-23T13:00,17.1,73
2026-08-23T14:00,17.2,72
2026-08-23T15:00,17.3,72
2026-08-23T16:00,17.1,73
2026-08-23T17:00,16.7,75
2026-08-23T18:00,16.4,76
2026-08-23T19:00,16.1,74
2026-08-23T20:00,15.8,70
2026-08-23T21:00,15.5,68
2026-08-23T22:00,15.2,70
2026-08-23T23:00,14.9,72
2026-08-24T00:00,14.8,73
2026-08-24T01:00,14.6,75
2026-08-24T02:00,14.5,77
2026-08-24T03:00,14.3,79
2026-08-24T04:00,14.1,80
2026-08-24T05:00,13.8,79
2026-08-24T06:00,13.9,78
2026-08-24T07:00,14.5,75
2026-08-24T08:00,15.6,70
2026-08-24T09:00,16.7,65
2026-08-24T10:00,17.9,59
2026-08-24T11:00,19.2,54
2026-08-24T12:00,20.1,49
2026-08-24T13:00,20.5,46
2026-08-24T14:00,20.6,45
2026-08-24T15:00,20.5,44
2026-08-24T16:00,20.4,43
2026-08-24T17:00,20.2,43
2026-08-24T18:00,19.8,45
2026-08-24T19:00,19.1,49
2026-08-24T20:00,18.3,54
2026-08-24T21:00,17.5,59
2026-08-24T22:00,16.7,64
2026-08-24T23:00,16.0,70
2026-08-25T00:00,15.3,75
2026-08-25T01:00,14.8,80
2026-08-25T02:00,14.3,84
2026-08-25T03:00,13.9,87
2026-08-25T04:00,13.6,89
2026-08-25T05:00,13.5,89
2026-08-25T06:00,13.9,86
2026-08-25T07:00,15.2,79
2026-08-25T08:00,17.0,70
2026-08-25T09:00,18.8,61
2026-08-25T10:00,20.2,53
2026-08-25T11:00,21.5,45
2026-08-25T12:00,22.5,39
2026-08-25T13:00,23.0,36
2026-08-25T14:00,23.3,36
2026-08-25T15:00,23.4,36
2026-08-25T16:00,23.4,36
2026-08-25T17:00,23.2,36
2026-08-25T18:00,22.7,37
2026-08-25T19:00,21.6,40
2026-08-25T20:00,20.3,45
2026-08-25T21:00,19.0,50
2026-08-25T22:00,18.1,54
2026-08-25T23:00,17.4,59
